fold,MAE,RMSE,MAPE
0,1.8058238162073346,2.1399660042368547,0.026926106049223974
1,2.229986032748147,2.6362961034949692,0.03460848851675616
2,2.86312962639992,3.2836715700940275,0.04408331165786282
3,2.4238591336475923,3.08655073461454,0.03846958365718454
4,2.1319487295488435,2.844490023978963,0.034248241258375896
5,2.6118924841048465,3.0607857180892917,0.041717083250742866
6,1.719380411941308,2.238613227740554,0.028083626022632435
7,2.0459530611575127,2.518456633398941,0.035187897556402885
8,1.8567878262402437,2.421227641424279,0.030851532814673736
9,1.738106421900291,2.3461256505979105,0.02995726962424542
10,2.091091163813033,2.5473533195613487,0.03628594634267605
11,1.5652857809656557,2.074414070351663,0.02835221112046766
12,1.7044068161979296,2.195892167838838,0.03288711482136864
13,1.9031294689975067,2.2607585695978565,0.034709396539948686
14,1.7314972900199028,2.0597284317666635,0.0331527963575192
15,2.3934663218685865,2.9311937331452507,0.046541975575997
16,1.941892086836617,2.512946154728849,0.03872297806916647
17,2.265189667297705,2.7002330281610942,0.045103224222414584
18,2.353637915250868,2.9508561604302006,0.045545922943173604
19,3.0833367596055763,3.598950451969417,0.061308443777490375
20,1.4181864515199896,1.7525062451139772,0.028034128732538466
21,1.8293486495404634,2.2728477931443023,0.03611144567591896
22,2.9902403659944627,3.62917623603126,0.05633514899484797
23,1.462185652893975,1.8864212423719187,0.02897115722025179
24,1.511857472781243,1.879354565483781,0.030617885334572124
25,2.332657076393004,2.8273029972293844,0.04475433267122842
26,1.9690054021831342,2.416480225691559,0.036792683404820156
27,1.9332565761525438,2.3528324621983874,0.03662808445796929
28,1.7404671203775313,2.1638162144520066,0.03279880209120263
29,2.475402462805394,3.0632362720150703,0.043749586089389385
30,2.373205131045728,2.9645044686595026,0.0403885809624212
31,2.633082232678685,2.8365939590125606,0.047133045466561545
32,2.3540958508802112,2.7506276551487887,0.04013751643573712
33,1.8037324107408266,2.4993149102357743,0.030024401943745904
34,2.2506456673968267,2.6514615388933973,0.037189189614578434
35,2.56004731492751,3.082058827252502,0.040537135564157625
36,1.9401670312153751,2.5099814092614157,0.0306755234870953
37,1.854487275587551,2.239797959110811,0.02911872832595564
38,1.7473917892852948,2.154553170977327,0.02686814412392382
39,2.3823583131409305,2.902605705130314,0.03421723171579183
